1970-01-01 00:11:51 status unpacked cmake-data:all 2.8.12.2-0ubuntu3
1970-01-01 00:11:51 status unpacked cmake-data:all 2.8.12.2-0ubuntu3
1970-01-01 00:11:51 install cmake:armhf <none> 2.8.12.2-0ubuntu3
1970-01-01 00:11:51 status half-installed cmake:armhf 2.8.12.2-0ubuntu3
1970-01-01 00:11:53 status unpacked cmake:armhf 2.8.12.2-0ubuntu3
1970-01-01 00:11:53 status unpacked cmake:armhf 2.8.12.2-0ubuntu3
1970-01-01 00:11:53 install cpp-4.8:armhf <none> 4.8.2-19ubuntu1
1970-01-01 00:11:53 status half-installed cpp-4.8:armhf 4.8.2-19ubuntu1
1970-01-01 00:11:56 status unpacked cpp-4.8:armhf 4.8.2-19ubuntu1
1970-01-01 00:11:56 status unpacked cpp-4.8:armhf 4.8.2-19ubuntu1
1970-01-01 00:11:56 install cpp:armhf <none> 4:4.8.2-1ubuntu6
1970-01-01 00:11:56 status half-installed cpp:armhf 4:4.8.2-1ubuntu6
1970-01-01 00:11:56 status unpacked cpp:armhf 4:4.8.2-1ubuntu6
1970-01-01 00:11:56 status unpacked cpp:armhf 4:4.8.2-1ubuntu6
1970-01-01 00:11:56 install docutils-common:all <none> 0.11-3
1970-01-01 00:11:56 status half-installed docutils-common:all 0.11-3
1970-01-01 00:11:57 status triggers-pending shared-mime-info:armhf 1.2-0ubuntu3
